m,n,ans,time(seconds),# of calls
0,0,1,-2.384185791015625e-06,1
0,1,2,-9.5367431640625e-07,2
0,2,3,-4.76837158203125e-07,3
0,3,4,-2.384185791015625e-07,4
0,4,5,-2.384185791015625e-07,5
0,5,6,-2.384185791015625e-07,6
0,6,7,-2.384185791015625e-07,7
0,7,8,-2.384185791015625e-07,8
0,8,9,-2.384185791015625e-07,9
0,9,10,-2.384185791015625e-07,10
1,0,2,-9.5367431640625e-07,12
1,1,3,-9.5367431640625e-07,15
1,2,4,-4.76837158203125e-07,18
1,3,5,-7.152557373046875e-07,21
1,4,6,-4.76837158203125e-07,24
1,5,7,-9.5367431640625e-07,27
1,6,8,-9.5367431640625e-07,30
1,7,9,-4.76837158203125e-07,33
1,8,10,-4.76837158203125e-07,36
1,9,11,-7.152557373046875e-07,39
2,0,3,-9.5367431640625e-07,41
2,1,5,-7.152557373046875e-07,44
2,2,7,-4.76837158203125e-07,47
2,3,9,-7.152557373046875e-07,50
2,4,11,-4.76837158203125e-07,53
2,5,13,-1.6689300537109375e-06,60
2,6,15,-6.604194641113281e-05,67
2,7,17,-1.430511474609375e-06,74
2,8,19,-1.9073486328125e-06,81
2,9,21,-1.1920928955078125e-06,88
